С988АМ152,12.01.2021,86400,98,Аварийно-ремонтная служба,Грузовые специального назначения
О540УН152,12.01.2021,86400,22,Аварийно-ремонтная служба,Грузовые самосвалы
6810НР52,12.01.2021,86400,22,Аварийно-ремонтная служба,Экскаватор
Р103ТК152,12.01.2021,86400,67,Аварийно-ремонтная служба,Грузовые специального назначения
К218ОТ152,12.01.2021,86400,184,Аварийно-ремонтная служба,Грузовые специального назначения
С963АМ152,12.01.2021,86400,435,Аварийно-ремонтная служба,Грузовые специального назначения
Р049ТК152,12.01.2021,720,49,Аварийно-ремонтная служба,Грузовые специального назначения
Р064ТК152,12.01.2021,480,47,Ремонтная бригада РТС Сормовский,Грузовые специального назначения
2045НТ52,12.01.2021,420,17,РТС Сормовский,Грузовые специального назначения
С939АМ152,12.01.2021,480,86,РТС Сормовский,Грузовые специального назначения
С355НС152,12.01.2021,480,69,РТС Нижегородский,Грузовые специального назначения
К217ОТ152,12.01.2021,480,21,РТС Нижегородский,Грузовые специального назначения
С309НС152,12.01.2021,480,247,РТС Ленинский,Грузовые специального назначения
Р436НВ152,12.01.2021,480,167,РТС Ленинский,Грузовые специального назначения
О221ХМ152,12.01.2021,480,67,РТС Ленинский,Грузовые специального назначения
Р354РЕ152,12.01.2021,480,94,РТС Ленинский,Грузовые специального назначения
2041АА52,12.01.2021,480,5,РТС Ленинский,Экскаватор
2046НТ52,12.01.2021,480,36,РТС Ленинский,Экскаватор
О581УН152,12.01.2021,480,8,РТС Ленинский,Самосвалы для перевозки грузов весом до 15 тонн
Р038ТК152,12.01.2021,480,20,РТС Нагорный,Грузовые специального назначения
5914НР52,12.01.2021,480,196,РТС Заречный,Трактор
С358НС152,12.01.2021,480,197,РТС Заречный,Грузовые специального назначения
Р211СС152,12.01.2021,480,23,РТС Заречный,Грузовые специального назначения
Р077ТК152,12.01.2021,480,321,РТС Заречный,Грузовые специального назначения
6806НР52,13.01.2021,86400,27,Аварийно-ремонтная служба,Экскаватор
6806НР52,13.01.2021,86400,27,Аварийно-ремонтная служба,Грузопассажирские фургоны
Р103ТК152,13.01.2021,86400,39,Аварийно-ремонтная служба,Грузовые специального назначения
К218ОТ152,13.01.2021,86400,235,Аварийно-ремонтная служба,Грузовые специального назначения
С963АМ152,13.01.2021,86400,265,Аварийно-ремонтная служба,Грузовые специального назначения
Р049ТК152,13.01.2021,720,84,Аварийно-ремонтная служба,Грузовые специального назначения
С939АМ152,13.01.2021,480,170,РТС Сормовский,Грузовые специального назначения
С309НС152,13.01.2021,480,264,РТС Ленинский,Грузовые специального назначения
Р436НВ152,13.01.2021,480,86,РТС Ленинский,Грузовые специального назначения
Р354РЕ152,13.01.2021,480,123,РТС Ленинский,Грузовые специального назначения
С355НС152,13.01.2021,480,19,РТС Нижегородский,Грузовые специального назначения
Р454НВ152,13.01.2021,480,109,РТС Нижегородский,Грузовые специального назначения
К217ОТ152,13.01.2021,480,62,РТС Нижегородский,Грузовые специального назначения
С352НС152,13.01.2021,480,6,РТС Нижегородский,Грузовые специального назначения
3419АА52,13.01.2021,480,100,РТС Нижегородский,Экскаватор
Р211СС152,13.01.2021,480,64,РТС Заречный,Грузовые специального назначения
С358НС152,13.01.2021,480,276,РТС Заречный,Грузовые специального назначения
Р077ТК152,13.01.2021,480,262,РТС Заречный,Грузовые специального назначения
С988АМ152,14.01.2021,86400,166,Аварийно-ремонтная служба,Грузовые специального назначения
С988АМ152,16.01.2021,86400,186,Аварийно-ремонтная служба,Грузовые специального назначения
С988АМ152,17.01.2021,86400,12,Аварийно-ремонтная служба,Грузовые специального назначения
О540УН152,14.01.2021,86400,10,Аварийно-ремонтная служба,Грузовые самосвалы
О540УН152,17.01.2021,86400,6,Аварийно-ремонтная служба,Грузовые самосвалы
6810НР52,16.01.2021,86400,90,Аварийно-ремонтная служба,Экскаватор
6807НР52,14.01.2021,86400,104,Аварийно-ремонтная служба,Экскаватор
6807НР52,16.01.2021,86400,131,Аварийно-ремонтная служба,Экскаватор
О016АВ152,16.01.2021,86400,8,Аварийно-ремонтная служба,Грузовые цистерны
Р103ТК152,14.01.2021,86400,150,Аварийно-ремонтная служба,Грузовые специального назначения
К218ОТ152,14.01.2021,86400,339,Аварийно-ремонтная служба,Грузовые специального назначения
С963АМ152,16.01.2021,86400,551,Аварийно-ремонтная служба,Грузовые специального назначения
С963АМ152,17.01.2021,86400,240,Аварийно-ремонтная служба,Грузовые специального назначения
С963АМ152,14.01.2021,86400,303,Аварийно-ремонтная служба,Грузовые специального назначения
К218ОТ152,16.01.2021,86400,322,Аварийно-ремонтная служба,Грузовые специального назначения
Р049ТК152,16.01.2021,720,137,Аварийно-ремонтная служба,Грузовые специального назначения
Р049ТК152,17.01.2021,720,28,Аварийно-ремонтная служба,Грузовые специального назначения
Р049ТК152,14.01.2021,720,132,Аварийно-ремонтная служба,Грузовые специального назначения
2045НТ52,14.01.2021,480,5,РТС Сормовский,Грузовые специального назначения
Р053ТК152,14.01.2021,480,74,Ремонтно-механическая служба,Грузовые специального назначения
С355НС152,14.01.2021,480,138,РТС Нижегородский,Грузовые специального назначения
К217ОТ152,14.01.2021,480,7,РТС Нижегородский,Грузовые специального назначения
3419АА52,14.01.2021,480,217,РТС Нижегородский,Экскаватор
